id,title,main_picture,alternative_titles,start_date,end_date,synopsis,nsfw,genres,created_at,updated_at,media_type,status,num_episodes,start_season,broadcast,source,average_episode_duration,rating,studios
1,Cowboy Bebop,"[""https://cdn.myanimelist.net/images/anime/4/19644l.webp"", ""https://cdn.myanimelist.net/images/anime/4/19644.webp""]","[[], ""Cowboy Bebop"", ""カウボーイビバップ""]",1998-04-03,1999-04-24,,white,"[[1, ""Action""], [50, ""Adult Cast""], [46, ""Award Winning""], [24, ""Sci-Fi""], [29, ""Space""]]",,,tv,finished_airing,26,"[1998, ""spring""]","[""saturday"", ""01:00""]",original,,r,"[[14, ""Sunrise""]]"
5,Cowboy Bebop: Tengoku no Tobira,"[""https://cdn.myanimelist.net/images/anime/1439/93480l.webp"", ""https://cdn.myanimelist.net/images/anime/1439/93480.webp""]","[[""Cowboy Bebop: Knockin' on Heaven's Door""], ""Cowboy Bebop: The Movie"", ""カウボーイビバップ 天国の扉""]",2001-09-01,2001-09-01,,white,"[[1, ""Action""], [50, ""Adult Cast""], [24, ""Sci-Fi""], [29, ""Space""]]",,,movie,finished_airing,1,"[2001, ""summer""]","[null, null]",original,,r,"[[4, ""Bones""]]"
6,Trigun,"[""https://cdn.myanimelist.net/images/anime/1130/120002l.webp"", ""https://cdn.myanimelist.net/images/anime/1130/120002.webp""]","[[], ""Trigun"", ""トライガン""]",1998-04-01,1998-09-30,,white,"[[1, ""Action""], [50, ""Adult Cast""], [2, ""Adventure""], [24, ""Sci-Fi""], [27, ""Shounen""]]",,,tv,finished_airing,26,"[1998, ""spring""]","[""thursday"", ""01:15""]",manga,,pg_13,"[[11, ""Madhouse""]]"
7,Witch Hunter Robin,"[""https://cdn.myanimelist.net/images/anime/10/19969l.jpg"", ""https://cdn.myanimelist.net/images/anime/10/19969.jpg""]","[[""WHR""], ""Witch Hunter Robin"", ""Witch Hunter ROBIN (ウイッチハンターロビン)""]",2002-07-03,2002-12-25,,white,"[[1, ""Action""], [39, ""Detective""], [8, ""Drama""], [7, ""Mystery""], [37, ""Supernatural""]]",,,tv,finished_airing,26,"[2002, ""summer""]","[""wednesday"", ""01:25""]",original,,pg_13,"[[14, ""Sunrise""]]"
8,Bouken Ou Beet,"[""https://cdn.myanimelist.net/images/anime/7/21569l.jpg"", ""https://cdn.myanimelist.net/images/anime/7/21569.jpg""]","[[""Adventure King Beet""], ""Beet the Vandel Buster"", ""冒険王ビィト""]",2004-09-30,2005-09-29,,white,"[[1, ""Action""], [2, ""Adventure""], [10, ""Fantasy""], [27, ""Shounen""]]",,,tv,finished_airing,52,"[2004, ""fall""]","[""thursday"", ""18:30""]",manga,,pg,"[[18, ""Toei Animation""]]"
15,Eyeshield 21,"[""https://cdn.myanimelist.net/images/anime/1079/133529l.jpg"", ""https://cdn.myanimelist.net/images/anime/1079/133529.jpg""]","[[""Eyeshield21""], """", ""アイシールド21""]",2005-04-06,2008-03-19,,white,"[[27, ""Shounen""], [30, ""Sports""], [77, ""Team Sports""]]",,,tv,finished_airing,145,"[2005, ""spring""]","[""wednesday"", ""19:00""]",manga,,pg_13,"[[36, ""Gallop""]]"
16,Hachimitsu to Clover,"[""https://cdn.myanimelist.net/images/anime/1301/133577l.jpg"", ""https://cdn.myanimelist.net/images/anime/1301/133577.jpg""]","[[""HachiKuro"", ""Honey & Clover""], ""Honey and Clover"", ""ハチミツとクローバー""]",2005-04-15,2005-09-27,,white,"[[50, ""Adult Cast""], [4, ""Comedy""], [8, ""Drama""], [43, ""Josei""], [64, ""Love Polygon""], [22, ""Romance""], [80, ""Visual Arts""]]",,,tv,finished_airing,24,"[2005, ""spring""]","[""friday"", ""00:35""]",manga,,pg_13,"[[7, ""J.C.Staff""]]"
17,Hungry Heart: Wild Striker,"[""https://cdn.myanimelist.net/images/anime/12/49655l.jpg"", ""https://cdn.myanimelist.net/images/anime/12/49655.jpg""]","[[], """", ""ハングリーハート Wild Striker""]",2002-09-11,2003-09-10,,white,"[[27, ""Shounen""], [30, ""Sports""], [77, ""Team Sports""]]",,,tv,finished_airing,52,"[2002, ""fall""]","[""wednesday"", null]",manga,,pg_13,"[[22, ""Nippon Animation""]]"
18,Initial D Fourth Stage,"[""https://cdn.myanimelist.net/images/anime/9/10521l.webp"", ""https://cdn.myanimelist.net/images/anime/9/10521.webp""]","[[""Initial D 4th Stage""], """", ""頭文字〈イニシャル〉D FOURTH STAGE""]",2004-04-17,2006-02-18,,white,"[[1, ""Action""], [8, ""Drama""], [3, ""Racing""], [42, ""Seinen""]]",,,tv,finished_airing,24,"[2004, ""spring""]","[null, null]",manga,,pg_13,"[[179, ""A.C.G.T.""]]"
19,Monster,"[""https://cdn.myanimelist.net/images/anime/10/18793l.jpg"", ""https://cdn.myanimelist.net/images/anime/10/18793.jpg""]","[[], ""Monster"", ""モンスター""]",2004-04-07,2005-09-28,,white,"[[50, ""Adult Cast""], [8, ""Drama""], [7, ""Mystery""], [40, ""Psychological""], [42, ""Seinen""], [41, ""Suspense""]]",,,tv,finished_airing,74,"[2004, ""spring""]","[""wednesday"", ""00:40""]",manga,,r+,"[[11, ""Madhouse""]]"
