id,title,mean,rank,popularity,num_list_users,num_scoring_users
2,Berserk,9.46,1,1,807773,404173
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.34,2,20,330544,205312
656,Vagabond,9.27,3,12,466465,178887
13,One Piece,9.21,4,3,705908,425339
162032,Guimi Zhi Zhu,9.19,5,857,26021,8363
1,Monster,9.16,6,27,294381,118817
147272,The Greatest Estate Developer,9.1,7,191,93972,46084
51,Slam Dunk,9.09,8,50,203294,90148
642,Vinland Saga,9.09,9,16,366680,162747
25,Fullmetal Alchemist,9.05,10,22,326695,171839
70345,Grand Blue,9.05,11,49,204562,77066
143441,Omniscient Reader's Viewpoint,9.03,12,567,37019,14796
130826,Tian Guan Cifu,9.02,13,975,23152,8895
16765,Kingdom,9.02,14,48,204977,72902
44489,Houseki no Kuni,9,15,71,178350,61494
657,Real,8.98,16,141,113504,25912
4632,Oyasumi Punpun,8.97,17,8,527900,222859
133431,Uma Musume Cinderella Gray,8.97,18,2082,12240,4277
34053,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.96,19,910,24742,8622
1303,Ashita no Joe,8.95,20,287,66785,20857
3,20th Century Boys,8.93,21,24,316631,111228
23751,Monogatari Series: Second Season,8.93,22,777,28512,8490
104,Yotsuba to!,8.92,23,67,181366,62124
14893,Monogatari Series: First Season,8.92,24,283,67741,18554
126479,Mikkakan no Koufuku,8.91,25,451,45217,14312
121405,Mo Dao Zu Shi,8.88,26,1623,15241,5951
44227,Monogatari Series: Final Season,8.88,27,955,23652,6148
74697,Re:Zero kara Hajimeru Isekai Seikatsu,8.88,28,208,87678,28816
86769,Kusuriya no Hitorigoto,8.88,29,820,27207,6600
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.88,30,25,308836,151589
104039,86,8.87,31,359,53729,13529
126287,Sousou no Frieren,8.87,32,73,177853,58845
336,GTO,8.86,33,58,192743,73012
1224,3-gatsu no Lion,8.86,34,221,81539,21463
35243,Haikyuu!!,8.86,35,34,246545,119758
56805,Koe no Katachi,8.86,36,26,294794,158763
178182,On the Way to Meet Mom,8.85,37,1629,15135,6193
7375,Kokou no Hito,8.84,38,86,160230,53914
21525,Akatsuki no Yona,8.83,39,88,155882,54437
86119,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.83,40,984,22838,6688
140765,Tian Guan Cifu,8.83,41,1154,20044,5706
147769,No Home,8.82,42,1871,13582,4183
28,Nana,8.82,43,70,178384,54068
9115,Ookami to Koushinryou,8.82,44,261,71539,17386
651,Kaze no Tani no Nausicaä,8.81,45,275,69112,19191
70261,Mushoku Tensei: Isekai Ittara Honki Dasu,8.81,46,161,104384,46083
85781,Dungeon Meshi,8.81,47,135,117422,43155
102875,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,8.8,48,2693,9544,2046
129621,Medalist,8.79,49,923,24445,4919
132678,Veil,8.78,50,595,35355,7369
26,Hunter x Hunter,8.78,51,23,318039,144461
14483,Uchuu Kyoudai,8.77,52,478,43233,9328
45143,Kono Oto Tomare!,8.77,53,356,54207,15201
100448,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,54,53,198224,105558
144267,Kaoru Hana wa Rin to Saku,8.77,55,99,147094,52847
7,Hajime no Ippo,8.76,56,162,103657,42428
100035,Tongari Boushi no Atelier,8.76,57,95,151274,38306
40171,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.75,58,232,77429,21683
89357,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.75,59,174,98571,38093
72467,Shoujo Shuumatsu Ryokou,8.74,60,194,93230,36868
128365,Kimi to Tsuzuru Utakata,8.73,61,579,36243,13334
9726,Zaregoto Series,8.72,62,764,28855,5213
145,Beck,8.71,63,189,94716,32623
418,Mushishi,8.71,64,177,97926,22040
9982,Usogui,8.71,65,319,61286,12595
91941,Made in Abyss,8.71,66,63,186646,61154
123992,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.71,67,433,46473,18541
118804,Ikoku Nikki,8.7,68,1552,15863,3401
23900,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.7,69,1300,18047,7220
108177,Monogatari Series: Monster Season,8.7,70,2526,10103,2029
1859,Natsume Yuujinchou,8.69,71,398,50577,12070
44347,One Punch-Man,8.69,72,7,537355,261552
55215,Utsuro no Hako to Zero no Maria,8.69,73,148,110636,21962
21,Death Note,8.68,74,14,433512,246174
1133,Dorohedoro,8.68,75,46,209441,68586
102256,Ao Ashi,8.68,76,443,45933,19589
107562,Kusuriya no Hitorigoto,8.68,77,182,96268,27837
117077,Kimi no Suizou wo Tabetai,8.68,78,1932,13193,4854
125036,The Horizon,8.68,79,132,118443,54180
178671,My Bias Gets on the Last Train,8.68,80,1000,22481,8113
35513,Koten-bu Series,8.67,81,1060,21431,3867
98930,Violet Evergarden,8.67,82,654,32864,7346
399,Kino no Tabi: The Beautiful World,8.66,83,1012,22284,3304
24875,Shinyaku Toaru Majutsu no Index,8.66,84,1280,18330,5696
70399,Seishun Buta Yarou Series,8.66,85,652,32955,7577
85968,Golden Kamuy,8.66,86,145,111993,30805
123006,Bungou Stray Dogs: Beast,8.66,87,1001,22473,7874
132214,Omniscient Reader's Viewpoint,8.66,88,74,176558,72410
137200,Mo Dao Zu Shi,8.65,89,1078,21173,6464
4,Yokohama Kaidashi Kikou,8.65,90,209,86940,21339
44,Gintama,8.65,91,157,105025,42198
664,Akira,8.65,92,97,150073,48835
904,Kozure Ookami,8.65,93,353,54503,8183
88660,Yagate Kimi ni Naru,8.65,94,120,125808,57660
81,Aria,8.64,95,448,45441,11598
6978,Ginga Eiyuu Densetsu,8.63,96,1897,13429,2548
78523,ReLIFE,8.63,97,72,177953,87149
145863,Sayonara Eri,8.63,98,77,173857,112514
160303,Koori no Jouheki,8.63,99,2154,11788,4741
116778,Chainsaw Man,8.62,100,2,744471,454136
745,Pluto,8.62,101,102,141700,52448
60783,Mob Psycho 100,8.62,102,112,132342,52006
61579,Tobaku Datenroku Kaiji: One Poker-hen,8.62,103,2067,12329,4777
756,Banana Fish,8.61,104,284,67670,17314
60553,Kono Subarashii Sekai ni Shukufuku wo!,8.61,105,324,60412,19813
81669,Overlord,8.61,106,274,69561,23977
107931,Blue Period,8.61,107,100,145507,42048
118289,Skip to Loafer,8.61,108,351,54757,14158
145539,Seasons of Blossom,8.6,109,985,22822,9396
180916,Kimi ni Okuru Eien,8.6,110,8100,2983,1544
1325,Hi no Tori,8.6,111,831,26866,4957
11054,Billy Bat,8.6,112,200,90903,24771
698,Shinseiki Evangelion,8.59,113,117,129762,56783
13245,Chihayafuru,8.59,114,345,55493,16447
37707,Shigatsu wa Kimi no Uso,8.59,115,205,88645,37115
114043,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",8.59,116,594,35368,11950
134744,The Legend of the Northern Blade,8.58,117,323,60430,24720
137303,Hirayasumi,8.58,118,823,27095,5174
2062,Kara no Kyoukai: The Garden of Sinners,8.58,119,1198,19444,3833
92559,Diamond no Ace Act II,8.58,120,1140,20259,8924
3006,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.57,121,138,115995,68967
11514,Otoyomegatari,8.57,122,216,83664,18226
66517,Umineko no Naku Koro ni,8.57,123,3183,8221,2365
79993,Umineko no Naku Koro ni Chiru,8.57,124,5145,5003,1532
93097,Monogatari Series: Off Season,8.57,125,3151,8280,2149
3031,Pandora Hearts,8.56,126,55,195609,66664
23390,Shingeki no Kyojin,8.56,127,4,697692,433437
33327,Tokyo Ghoul,8.56,128,6,575903,314313
87844,The Fable,8.56,129,276,69029,21589
103237,Wind Breaker,8.56,130,279,68340,24277
116312,19 Tian,8.56,131,1513,16200,5740
138533,Nan Hao Shang Feng,8.56,132,860,25857,8665
142310,Amayo no Tsuki,8.56,133,1685,14784,3717
170427,The Knight Only Lives Today,8.56,134,829,26951,9423
117851,Shimeji Simulation,8.55,135,725,29838,7640
121496,Solo Leveling,8.55,136,5,626639,374177
